"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","6","0","","0"
"1","Модуль логина интернет-магазина","0","TMS-25","0","0","TMS-25.11","0"
