"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","415","checkNegativeLogin","Sauce Demo SmokeTest","Thu Dec 12 18:34:06 GMT 2024","passed","Thu Dec 12 18:34:07 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"","408","checkLoginWithEmptyPassword","Sauce Demo SmokeTest","Thu Dec 12 18:34:07 GMT 2024","passed","Thu Dec 12 18:34:07 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithEmptyPassword"
"","403","checkNegativeLogin","Sauce Demo SmokeTest","Thu Dec 12 18:34:05 GMT 2024","passed","Thu Dec 12 18:34:06 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"","404","checkNegativeLogin","Sauce Demo SmokeTest","Thu Dec 12 18:34:05 GMT 2024","passed","Thu Dec 12 18:34:05 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"","401","checkLoginWithEmptyUserName","Sauce Demo SmokeTest","Thu Dec 12 18:34:09 GMT 2024","passed","Thu Dec 12 18:34:09 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка входа в систему интернет магазина юзера с позитивными кредами","5379","Проверка позитивного логина","Sauce Demo SmokeTest","Thu Dec 12 18:33:59 GMT 2024","broken","Thu Dec 12 18:34:04 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLogin"
"","417","checkLoginWithErrorPassword","Sauce Demo SmokeTest","Thu Dec 12 18:34:08 GMT 2024","passed","Thu Dec 12 18:34:08 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithErrorPassword"
"","992","checkCart","Sauce Demo SmokeTest","Thu Dec 12 18:33:47 GMT 2024","passed","Thu Dec 12 18:33:48 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkCart"
