"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","389","checkLoginWithEmptyUserName","Sauce Demo SmokeTest","Thu Dec 12 18:32:44 GMT 2024","passed","Thu Dec 12 18:32:44 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithEmptyUserName"
"","413","checkLoginWithErrorPassword","Sauce Demo SmokeTest","Thu Dec 12 18:32:43 GMT 2024","passed","Thu Dec 12 18:32:43 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithErrorPassword"
"","4116","checkCart","Sauce Demo SmokeTest","Thu Dec 12 18:32:19 GMT 2024","passed","Thu Dec 12 18:32:23 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkCart"
"","407","checkNegativeLogin","Sauce Demo SmokeTest","Thu Dec 12 18:32:41 GMT 2024","passed","Thu Dec 12 18:32:42 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"","399","checkLoginWithEmptyPassword","Sauce Demo SmokeTest","Thu Dec 12 18:32:42 GMT 2024","passed","Thu Dec 12 18:32:42 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка входа в систему интернет магазина юзера с позитивными кредами","5418","Проверка позитивного логина","Sauce Demo SmokeTest","Thu Dec 12 18:32:34 GMT 2024","broken","Thu Dec 12 18:32:39 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLogin"
"","411","checkNegativeLogin","Sauce Demo SmokeTest","Thu Dec 12 18:32:40 GMT 2024","passed","Thu Dec 12 18:32:41 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"","398","checkNegativeLogin","Sauce Demo SmokeTest","Thu Dec 12 18:32:40 GMT 2024","passed","Thu Dec 12 18:32:40 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
