"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","438","checkNegativeLogin","Sauce Demo SmokeTest","Thu Feb 20 06:35:25 GMT 2025","passed","Thu Feb 20 06:35:26 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"","439","checkLoginWithErrorPassword","Sauce Demo SmokeTest","Thu Feb 20 06:35:27 GMT 2025","passed","Thu Feb 20 06:35:28 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithErrorPassword"
"","440","checkLoginWithEmptyPassword","Sauce Demo SmokeTest","Thu Feb 20 06:35:26 GMT 2025","passed","Thu Feb 20 06:35:27 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithEmptyPassword"
"","424","checkNegativeLogin","Sauce Demo SmokeTest","Thu Feb 20 06:35:24 GMT 2025","passed","Thu Feb 20 06:35:24 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"","439","checkLoginWithEmptyUserName","Sauce Demo SmokeTest","Thu Feb 20 06:35:28 GMT 2025","passed","Thu Feb 20 06:35:28 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithEmptyUserName"
"Проверка входа в систему интернет магазина юзера с позитивными кредами","5431","Проверка позитивного логина","Sauce Demo SmokeTest","Thu Feb 20 06:35:18 GMT 2025","broken","Thu Feb 20 06:35:23 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkLogin"
"","936","checkCart","Sauce Demo SmokeTest","Thu Feb 20 06:35:06 GMT 2025","passed","Thu Feb 20 06:35:07 GMT 2025","tests.CartTest","Thread#1","tests.CartTest","checkCart"
"","447","checkNegativeLogin","Sauce Demo SmokeTest","Thu Feb 20 06:35:24 GMT 2025","failed","Thu Feb 20 06:35:25 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
